restaurant_id,restaurant_name,cuisine_type,city,area,avg_prep_time_minutes,onboard_date,is_pure_veg
1,Restaurant 1,North Indian,Chennai,Adyar,34,2025-01-20,N
2,Restaurant 2,Fast Food,Chennai,Velachery,22,2025-01-16,N
3,Restaurant 3,South Indian,Mumbai,Bandra,40,2025-01-20,Y
4,Restaurant 4,Biryani,Chennai,Adyar,25,2024-06-06,N
5,Restaurant 5,South Indian,Delhi,South Delhi,22,2025-01-23,N
6,Restaurant 6,North Indian,Mumbai,Bandra,35,2024-12-04,N
7,Restaurant 7,Biryani,Pune,Viman Nagar,16,2024-07-13,Y
8,Restaurant 8,Italian,Mumbai,Thane,15,2024-07-30,N
9,Restaurant 9,Chinese,Kolkata,Salt Lake,43,2025-04-11,N
10,Restaurant 10,Bakery,Chennai,OMR,41,2025-03-15,N
11,Restaurant 11,Fast Food,Bengaluru,Whitefield,42,2024-11-14,N
12,Restaurant 12,South Indian,Kolkata,Gariahat,44,2024-08-05,Y
13,Restaurant 13,South Indian,Delhi,East Delhi,26,2025-03-13,N
14,Restaurant 14,Italian,Bengaluru,Indiranagar,39,2024-06-17,Y
15,Restaurant 15,Cafe,Kolkata,Salt Lake,21,2024-06-30,Y
16,Restaurant 16,Biryani,Pune,Kothrud,32,2024-11-17,N
17,Restaurant 17,Italian,Delhi,Central Delhi,28,2024-06-21,N
18,Restaurant 18,Fast Food,Kolkata,Gariahat,40,2024-08-11,Y
19,Restaurant 19,North Indian,Chennai,Adyar,29,2025-01-31,N
20,Restaurant 20,Italian,Chennai,T Nagar,29,2024-08-12,Y
21,Restaurant 21,South Indian,Delhi,North Delhi,18,2025-02-11,Y
22,Restaurant 22,Cafe,Hyderabad,Secunderabad,44,2025-05-01,N
23,Restaurant 23,Chinese,Chennai,Velachery,18,2025-01-17,Y
24,Restaurant 24,Fast Food,Bengaluru,Indiranagar,32,2024-10-24,N
25,Restaurant 25,South Indian,Chennai,Velachery,24,2024-11-22,N
26,Restaurant 26,Fast Food,Pune,Viman Nagar,30,2024-08-06,N
27,Restaurant 27,Biryani,Mumbai,Thane,42,2024-09-30,Y
28,Restaurant 28,Fast Food,Bengaluru,Electronic City,35,2024-07-11,N
29,Restaurant 29,North Indian,Chennai,Velachery,38,2025-03-11,N
30,Restaurant 30,Bakery,Mumbai,Andheri,42,2024-08-24,N
31,Restaurant 31,South Indian,Hyderabad,Secunderabad,43,2025-03-23,N
32,Restaurant 32,Bakery,Mumbai,Navi Mumbai,39,2025-02-27,N
33,Restaurant 33,Biryani,Mumbai,Thane,26,2024-12-25,Y
34,Restaurant 34,Chinese,Chennai,OMR,25,2025-03-01,Y
35,Restaurant 35,Fast Food,Bengaluru,Whitefield,17,2024-11-21,N
36,Restaurant 36,Biryani,Chennai,Velachery,24,2024-08-15,N
37,Restaurant 37,Bakery,Pune,Koregaon Park,42,2025-03-23,N
38,Restaurant 38,Cafe,Mumbai,Bandra,26,2024-06-09,N
39,Restaurant 39,South Indian,Delhi,South Delhi,37,2025-03-16,N
40,Restaurant 40,Biryani,Mumbai,Bandra,19,2024-09-29,N
41,Restaurant 41,Biryani,Pune,Kothrud,41,2024-10-01,N
42,Restaurant 42,Italian,Hyderabad,Madhapur,19,2024-09-18,N
43,Restaurant 43,South Indian,Pune,Kothrud,15,2024-12-23,N
44,Restaurant 44,Bakery,Chennai,Velachery,28,2024-08-21,N
45,Restaurant 45,Biryani,Delhi,West Delhi,29,2024-10-08,Y
46,Restaurant 46,North Indian,Mumbai,Thane,21,2024-11-05,N
47,Restaurant 47,Chinese,Chennai,Velachery,18,2025-01-27,N
48,Restaurant 48,Italian,Pune,Kothrud,27,2024-09-14,N
49,Restaurant 49,Chinese,Kolkata,Park Street,18,2025-04-04,N
50,Restaurant 50,North Indian,Bengaluru,Whitefield,41,2024-06-10,N
51,Restaurant 51,Cafe,Pune,Hinjewadi,16,2024-07-23,N
52,Restaurant 52,Bakery,Delhi,South Delhi,39,2025-03-02,Y
53,Restaurant 53,Fast Food,Kolkata,Gariahat,42,2024-07-23,Y
54,Restaurant 54,South Indian,Delhi,North Delhi,44,2024-07-21,N
55,Restaurant 55,South Indian,Delhi,East Delhi,44,2024-09-14,Y
56,Restaurant 56,Chinese,Kolkata,Park Street,44,2024-07-24,Y
57,Restaurant 57,Chinese,Chennai,OMR,17,2024-09-12,Y
58,Restaurant 58,Biryani,Bengaluru,Electronic City,44,2024-12-17,Y
59,Restaurant 59,Fast Food,Mumbai,Navi Mumbai,24,2024-06-30,N
60,Restaurant 60,Biryani,Chennai,Velachery,36,2024-06-22,Y
61,Restaurant 61,Cafe,Chennai,Velachery,34,2024-09-12,N
62,Restaurant 62,South Indian,Pune,Koregaon Park,26,2025-03-12,Y
63,Restaurant 63,South Indian,Mumbai,Bandra,19,2025-01-10,Y
64,Restaurant 64,Fast Food,Bengaluru,Koramangala,41,2025-02-11,N
65,Restaurant 65,North Indian,Pune,Viman Nagar,42,2024-12-24,Y
66,Restaurant 66,Fast Food,Delhi,South Delhi,15,2024-09-21,N
67,Restaurant 67,Bakery,Delhi,South Delhi,16,2024-12-28,N
68,Restaurant 68,Fast Food,Delhi,Central Delhi,20,2024-09-27,Y
69,Restaurant 69,Fast Food,Bengaluru,HSR Layout,37,2024-06-13,N
70,Restaurant 70,Cafe,Pune,Viman Nagar,31,2024-12-31,N
71,Restaurant 71,Biryani,Mumbai,Thane,19,2024-07-27,N
72,Restaurant 72,South Indian,Mumbai,Andheri,36,2024-10-17,N
73,Restaurant 73,Bakery,Chennai,OMR,30,2024-09-05,N
74,Restaurant 74,Cafe,Hyderabad,Madhapur,41,2024-12-30,Y
75,Restaurant 75,South Indian,Kolkata,Salt Lake,34,2024-08-17,N
76,Restaurant 76,Bakery,Delhi,East Delhi,34,2024-12-07,N
77,Restaurant 77,Fast Food,Kolkata,Salt Lake,23,2024-06-29,N
78,Restaurant 78,Cafe,Mumbai,Bandra,21,2024-12-26,N
79,Restaurant 79,Chinese,Mumbai,Thane,25,2024-12-25,N
80,Restaurant 80,Fast Food,Bengaluru,HSR Layout,44,2024-12-03,N
81,Restaurant 81,Cafe,Kolkata,Salt Lake,42,2024-08-13,Y
82,Restaurant 82,North Indian,Kolkata,Salt Lake,39,2025-01-11,N
83,Restaurant 83,South Indian,Chennai,Adyar,15,2025-05-01,Y
84,Restaurant 84,Chinese,Kolkata,Park Street,19,2024-12-14,N
