order_id,customer_id,restaurant_id,order_datetime,order_status,payment_method,delivery_fee,platform_discount,restaurant_discount,gross_order_value,net_order_value,platform_commission_pct,platform_commission_amount
1,720,75,2025-06-14 12:50:49,Delivered,UPI,25.0,0.0,0.0,167.76,167.76,17.66,29.63
2,112,57,2025-09-10 22:03:54,Delivered,Wallet,25.0,145.71,175.03,1111.61,790.87,20.16,159.44
3,2282,32,2025-07-03 23:02:29,Delivered,COD,25.0,15.84,12.46,363.94,335.64,24.45,82.06
4,1561,179,2025-06-13 16:43:34,Cancelled,UPI,15.0,12.17,7.08,223.57,204.32,18.66,38.13
5,1646,69,2025-07-28 19:43:09,Delivered,UPI,25.0,0.0,0.0,529.28,529.28,16.92,89.55
6,886,55,2025-08-06 22:02:25,Delivered,COD,35.0,117.86,44.61,512.01,349.54,24.06,84.1
7,1895,98,2025-08-29 11:20:35,Delivered,UPI,35.0,84.08,37.0,1067.21,946.13,24.33,230.19
8,1634,57,2025-09-19 18:50:19,Delivered,Card,35.0,102.08,29.1,510.55,379.37,23.8,90.29
9,702,83,2025-07-20 19:28:38,Delivered,UPI,35.0,204.37,165.09,1071.88,702.42,18.16,127.56
10,1669,106,2025-08-31 14:04:48,Delivered,UPI,25.0,0.0,0.0,1060.36,1060.36,15.79,167.43
11,18,117,2025-06-30 19:15:12,Returned,UPI,15.0,154.57,60.01,660.18,445.6,15.01,66.88
12,658,155,2025-07-11 17:27:09,Delivered,UPI,15.0,0.0,0.0,412.86,412.86,29.28,120.89
13,1676,99,2025-06-14 15:50:22,Delivered,UPI,0.0,61.32,56.38,1126.43,1008.73,17.47,176.23
14,898,153,2025-06-13 11:50:57,Delivered,Card,15.0,0.0,0.0,238.42,238.42,20.38,48.59
15,704,147,2025-08-06 11:38:08,Delivered,Card,0.0,0.0,0.0,407.73,407.73,29.59,120.65
16,1599,29,2025-08-21 21:12:40,Delivered,UPI,15.0,215.88,104.47,1187.41,867.06,27.68,240.0
17,2544,143,2025-07-30 19:40:42,Delivered,UPI,25.0,92.68,23.29,887.53,771.56,27.38,211.25
18,1565,195,2025-09-30 23:24:47,Delivered,Card,0.0,96.53,36.73,474.36,341.1,27.66,94.35
