customer_id,customer_name,signup_date,gender,city,area,acquisition_channel
1,Customer 1,2024-05-10,Female,Pune,Kothrud,Organic
2,Customer 2,2024-11-23,Male,Chennai,OMR,Social Media
3,Customer 3,2024-01-10,Male,Kolkata,Howrah,Social Media
4,Customer 4,2025-02-04,Other,Delhi,West Delhi,Paid Ads
5,Customer 5,2023-11-23,Other,Bengaluru,Whitefield,Paid Ads
6,Customer 6,2024-12-10,Male,Bengaluru,Indiranagar,Paid Ads
7,Customer 7,2025-01-03,Male,Bengaluru,HSR Layout,Referral
8,Customer 8,2024-10-31,Other,Kolkata,Salt Lake,Paid Ads
9,Customer 9,2024-10-15,Male,Delhi,Central Delhi,Organic
10,Customer 10,2023-08-12,Other,Bengaluru,Whitefield,Organic
11,Customer 11,2024-04-25,Male,Kolkata,Salt Lake,Organic
12,Customer 12,2024-07-31,Female,Mumbai,Bandra,Organic
13,Customer 13,2024-04-12,Other,Pune,Viman Nagar,Social Media
14,Customer 14,2023-11-13,Female,Mumbai,Thane,Organic
15,Customer 15,2023-08-15,Female,Pune,Viman Nagar,Paid Ads
16,Customer 16,2025-05-20,Other,Chennai,Velachery,Referral
17,Customer 17,2024-06-08,Male,Mumbai,Navi Mumbai,Organic
18,Customer 18,2023-08-03,Male,Kolkata,Park Street,Referral
19,Customer 19,2025-01-30,Male,Delhi,Central Delhi,Organic
20,Customer 20,2025-03-03,Male,Bengaluru,Electronic City,Paid Ads
21,Customer 21,2024-07-20,Female,Hyderabad,Gachibowli,Organic
22,Customer 22,2025-04-21,Male,Pune,Viman Nagar,Organic
23,Customer 23,2024-01-16,Male,Chennai,Velachery,Organic
24,Customer 24,2024-11-12,Male,Kolkata,Salt Lake,Referral
25,Customer 25,2023-06-08,Female,Pune,Koregaon Park,Referral
26,Customer 26,2023-11-21,Male,Delhi,Central Delhi,Referral
27,Customer 27,2024-05-07,Female,Delhi,East Delhi,Paid Ads
28,Customer 28,2024-09-18,Female,Delhi,East Delhi,Referral
29,Customer 29,2024-03-08,Male,Chennai,OMR,Social Media
30,Customer 30,2024-10-02,Female,Hyderabad,Gachibowli,Referral
31,Customer 31,2025-05-27,Male,Pune,Koregaon Park,Paid Ads
32,Customer 32,2024-05-23,Female,Hyderabad,Secunderabad,Referral
33,Customer 33,2024-10-20,Other,Kolkata,Park Street,Organic
34,Customer 34,2024-08-23,Male,Bengaluru,HSR Layout,Social Media
35,Customer 35,2023-07-13,Female,Kolkata,Howrah,Paid Ads
36,Customer 36,2023-09-30,Male,Bengaluru,Koramangala,Paid Ads
37,Customer 37,2024-01-07,Male,Kolkata,Gariahat,Social Media
38,Customer 38,2023-12-31,Female,Hyderabad,Gachibowli,Referral
