order_item_id,order_id,menu_item_name,item_category,quantity,price_per_unit,line_total
1,1,Starter Item 36,Starter,3,-10.75,-32.24
2,1,Dessert Item 10,Dessert,3,16.67,50.0
3,1,Dessert Item 19,Dessert,3,16.67,50.0
4,1,Starter Item 33,Starter,1,50.0,50.0
5,1,Dessert Item 7,Dessert,3,16.67,50.0
6,2,Beverage Item 25,Beverage,3,24.6,73.8
7,2,Main Course Item 40,Main Course,1,333.87,333.87
8,2,Beverage Item 46,Beverage,3,52.34,157.01
9,2,Dessert Item 41,Dessert,2,79.05,158.11
10,2,Beverage Item 44,Beverage,2,194.42,388.83
11,3,Starter Item 4,Starter,2,25.39,50.78
12,3,Dessert Item 22,Dessert,1,112.21,112.21
13,3,Main Course Item 4,Main Course,1,69.66,69.66
14,3,Main Course Item 49,Main Course,2,31.01,62.02
15,3,Main Course Item 2,Main Course,1,69.26,69.26
16,4,Starter Item 34,Starter,1,141.69,141.69
17,4,Main Course Item 15,Main Course,2,40.94,81.88
18,5,Beverage Item 47,Beverage,3,18.81,56.43
19,5,Beverage Item 1,Beverage,3,101.86,305.57
20,5,Dessert Item 38,Dessert,2,32.52,65.03
21,5,Main Course Item 25,Main Course,3,17.06,51.19
22,5,Starter Item 25,Starter,3,17.02,51.06
23,6,Beverage Item 3,Beverage,1,124.6,124.6
24,6,Dessert Item 48,Dessert,1,235.0,235.0
25,6,Beverage Item 49,Beverage,2,25.91,51.81
26,6,Beverage Item 23,Beverage,3,16.69,50.06
27,6,Dessert Item 28,Dessert,2,25.27,50.53
28,7,Beverage Item 11,Beverage,3,116.3,348.89
29,7,Beverage Item 17,Beverage,2,97.9,195.81
30,7,Starter Item 2,Starter,3,108.78,326.34
31,7,Dessert Item 39,Dessert,1,124.99,124.99
32,7,Dessert Item 20,Dessert,3,23.73,71.18
33,8,Main Course Item 21,Main Course,3,170.18,510.55
34,9,Beverage Item 14,Beverage,1,149.76,149.76
35,9,Starter Item 6,Starter,2,28.69,57.38
36,9,Main Course Item 18,Main Course,3,59.81,179.44
37,9,Dessert Item 6,Dessert,1,374.85,374.85
38,9,Starter Item 28,Starter,2,79.14,158.27
39,9,Dessert Item 27,Dessert,1,152.19,152.19
40,10,Beverage Item 33,Beverage,3,54.92,164.77
41,10,Main Course Item 11,Main Course,1,265.44,265.44
42,10,Main Course Item 47,Main Course,2,93.52,187.04
43,10,Beverage Item 25,Beverage,3,54.06,162.19
44,10,Beverage Item 44,Beverage,2,140.45,280.91
45,11,Dessert Item 15,Dessert,3,105.5,316.51
46,11,Main Course Item 17,Main Course,2,27.91,55.82
47,11,Main Course Item 21,Main Course,2,143.93,287.85
48,12,Main Course Item 13,Main Course,1,84.89,84.89
49,12,Main Course Item 41,Main Course,1,133.52,133.52
50,12,Starter Item 19,Starter,2,52.91,105.83
51,12,Dessert Item 31,Dessert,2,44.31,88.62
52,13,Starter Item 18,Starter,1,255.12,255.12
53,13,Main Course Item 2,Main Course,2,147.04,294.07
54,13,Beverage Item 46,Beverage,1,169.28,169.28
55,13,Beverage Item 11,Beverage,1,407.96,407.96
56,14,Main Course Item 30,Main Course,1,238.42,238.42
57,15,Starter Item 1,Starter,2,90.69,181.37
58,15,Starter Item 24,Starter,3,75.45,226.36
59,16,Dessert Item 22,Dessert,3,92.6,277.79
60,16,Beverage Item 4,Beverage,3,39.51,118.54
61,16,Main Course Item 11,Main Course,2,395.54,791.08
62,17,Starter Item 41,Starter,3,295.84,887.53
63,18,Starter Item 25,Starter,3,22.55,67.65
64,18,Dessert Item 20,Dessert,1,406.71,406.71
65,19,Beverage Item 9,Beverage,3,-2.74,-8.21
66,19,Main Course Item 15,Main Course,1,50.0,50.0
67,19,Beverage Item 42,Beverage,1,50.0,50.0
68,19,Main Course Item 15,Main Course,2,25.0,50.0
69,19,Starter Item 44,Starter,1,50.0,50.0
70,19,Starter Item 36,Starter,2,25.0,50.0
71,20,Main Course Item 42,Main Course,2,1.17,2.35
72,20,Beverage Item 42,Beverage,2,25.0,50.0
73,20,Beverage Item 15,Beverage,3,16.67,50.0
74,20,Dessert Item 3,Dessert,1,50.0,50.0
75,20,Main Course Item 46,Main Course,3,16.67,50.0
76,21,Beverage Item 5,Beverage,1,1128.88,1128.88
77,22,Starter Item 1,Starter,2,85.27,170.54
78,22,Beverage Item 10,Beverage,2,391.64,783.28
79,23,Beverage Item 12,Beverage,3,104.87,314.61
80,23,Dessert Item 42,Dessert,2,224.78,449.57
81,24,Beverage Item 6,Beverage,3,241.19,723.56
82,25,Dessert Item 13,Dessert,3,39.55,118.65
83,25,Starter Item 2,Starter,1,150.17,150.17
84,25,Starter Item 8,Starter,1,219.81,219.81
85,25,Starter Item 41,Starter,3,31.09,93.28
86,25,Starter Item 33,Starter,2,60.99,121.98
87,25,Starter Item 39,Starter,2,50.2,100.4
88,26,Beverage Item 19,Beverage,2,141.74,283.47
89,27,Main Course Item 39,Main Course,1,106.4,106.4
90,27,Starter Item 28,Starter,2,27.84,55.67
91,27,Beverage Item 18,Beverage,2,118.68,237.36
92,27,Dessert Item 10,Dessert,3,25.35,76.05
93,27,Starter Item 2,Starter,2,25.59,51.17
94,28,Main Course Item 9,Main Course,2,108.11,216.22
95,28,Beverage Item 7,Beverage,1,134.34,134.34
96,28,Beverage Item 20,Beverage,1,400.85,400.85
97,29,Beverage Item 46,Beverage,2,236.22,472.44
98,30,Dessert Item 8,Dessert,3,102.36,307.07
99,30,Main Course Item 45,Main Course,1,211.14,211.14
100,30,Starter Item 44,Starter,2,56.22,112.45
101,31,Dessert Item 44,Dessert,1,1142.57,1142.57
102,32,Starter Item 45,Starter,3,116.14,348.43
103,33,Main Course Item 42,Main Course,3,21.43,64.3
104,33,Beverage Item 19,Beverage,1,219.29,219.29
105,34,Starter Item 1,Starter,1,-45.89,-45.89
106,34,Beverage Item 23,Beverage,2,25.0,50.0
107,34,Beverage Item 31,Beverage,3,16.67,50.0
108,34,Starter Item 46,Starter,3,16.67,50.0
109,34,Starter Item 2,Starter,3,16.67,50.0
110,35,Main Course Item 18,Main Course,1,127.85,127.85
111,35,Starter Item 15,Starter,2,33.32,66.64
112,35,Main Course Item 32,Main Course,3,55.42,166.25
113,36,Main Course Item 15,Main Course,1,709.49,709.49
114,37,Starter Item 40,Starter,3,20.03,60.09
115,37,Beverage Item 36,Beverage,3,265.4,796.19
116,38,Dessert Item 48,Dessert,1,-33.36,-33.36
117,38,Starter Item 15,Starter,1,50.0,50.0
118,38,Starter Item 47,Starter,3,16.67,50.0
119,38,Main Course Item 28,Main Course,2,25.0,50.0
120,38,Main Course Item 9,Main Course,1,50.0,50.0
121,39,Main Course Item 32,Main Course,2,2.73,5.47
122,39,Starter Item 46,Starter,1,50.0,50.0
123,39,Dessert Item 2,Dessert,1,50.0,50.0
124,39,Starter Item 22,Starter,1,50.0,50.0
125,39,Starter Item 26,Starter,3,16.67,50.0
126,40,Starter Item 29,Starter,1,243.22,243.22
127,40,Dessert Item 47,Dessert,1,107.78,107.78
128,40,Dessert Item 43,Dessert,1,133.76,133.76
129,41,Main Course Item 45,Main Course,3,101.03,303.09
130,41,Beverage Item 2,Beverage,3,23.18,69.53
